Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users query,Prop POIs,Num POIs query,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,pure,zipfian,900,8,False,3,32,4,0.1,1,520.5014240703691,0.06937105749276462,0.0009034554905877246,0.875,1.625,3,12.776792220454809,0.15,4.0,1.8757935873300127
VST-CA,pure,uniform,900,8,False,3,32,4,0.1,1,491.77032200335515,0.0668924812087174,0.0007191513910660874,0.875,1.5,3,11.960874942269584,0.15,4.0,1.8693855576989973
VST-NCA,N/A,zipfian,900,8,False,4,32,4,0.1,1,534.0551670940451,0.07039393897007847,0.0015487808410075278,1.5,1.625,0,4.815628880793156,0.15,4.0,1.883179756600056
VST-NCA,N/A,uniform,900,8,False,4,32,4,0.1,1,530.8203212628162,0.07029739446476874,0.0009246232170849696,1.125,1.875,0,4.948108995740768,0.15,4.0,1.9068129649495877
VST-CA,mixed,zipfian,900,8,False,4,32,4,0.1,1,523.4818938673789,0.07033331324676034,0.0014197157709235672,1.375,1.625,4,10.013301688304637,0.15,4.0,1.8865987670966968
VST-CA,mixed,uniform,900,8,False,4,32,4,0.1,1,531.576602103467,0.07014591139401383,0.0009246232170849696,1.125,2.0,3,8.710253502335036,0.15,4.0,1.905517563519949
VST-CA,pure,zipfian,900,8,False,4,32,4,0.1,1,522.6504715122028,0.0703066418983427,0.0014197157709235672,1.375,1.625,4,14.249314927899832,0.15,4.0,1.8867633458228381
VST-CA,pure,uniform,900,8,False,4,32,4,0.1,1,530.9316808506534,0.07014148819172245,0.0008218873040755285,1.0,2.0,3,11.652870631702172,0.15,4.0,1.9109659556323149
VST-NCA,N/A,zipfian,900,16,False,0,32,8,0.1,1,835.0297308379744,0.05864949925344422,0.0009034554905877246,0.875,1.0,0,40.91180633242584,0.15,4.0,2.391853786880669
VST-NCA,N/A,uniform,900,16,False,0,32,8,0.1,1,830.8120726774396,0.05833678199417978,0.0009034554905877246,0.875,1.125,0,44.6202458048956,0.15,4.0,2.396940003905861
VST-CA,mixed,zipfian,900,16,False,0,32,8,0.1,1,833.3432706509486,0.058621070198357,0.0007743904205037639,0.75,1.0,4,99.64153435623666,0.15,4.0,2.398259181847949
VST-CA,mixed,uniform,900,16,False,0,32,8,0.1,1,826.8557758526215,0.058134913731334316,0.0008389229555457442,0.8125,1.125,4,109.12751577975177,0.15,4.0,2.3960941836178344
VST-CA,pure,zipfian,900,16,False,0,32,8,0.1,1,830.2737525463924,0.058494836243563116,0.0007743904205037639,0.75,1.0,7,274.90114178683325,0.15,4.0,2.3951876416605637
VST-CA,pure,uniform,900,16,False,0,32,8,0.1,1,825.1611591965544,0.05807842716383502,0.0008389229555457442,0.8125,1.0625,6,262.74149432955346,0.15,4.0,2.399300379938693
VST-NCA,N/A,zipfian,900,16,False,1,32,8,0.1,1,814.1579384347696,0.057478712951691775,0.0009034554905877246,0.875,1.0,0,34.81172320008227,0.15,4.0,2.407641506033952
VST-NCA,N/A,uniform,900,16,False,1,32,8,0.1,1,810.548984695867,0.05734534734807259,0.0006164154780566464,0.75,1.0,0,41.21652845486642,0.15,4.0,2.412790723447607
VST-CA,mixed,zipfian,900,16,False,1,32,8,0.1,1,812.703401471979,0.057424367014533434,0.0009034554905877246,0.875,1.0625,3,75.73857956586471,0.15,4.0,2.4134060026069117
VST-CA,mixed,uniform,900,16,False,1,32,8,0.1,1,809.2793475234255,0.05729343599918331,0.0005136795650472054,0.625,1.0,3,91.27659516600761,0.15,4.0,2.424055404009102
VST-CA,pure,zipfian,900,16,False,1,32,8,0.1,1,812.1579741417283,0.057412097858963916,0.0009034554905877246,0.875,1.0625,4,135.13512906039796,0.15,4.0,2.418055745353228
VST-CA,pure,uniform,900,16,False,1,32,8,0.1,1,809.2793475234255,0.05729343599918331,0.0005136795650472054,0.625,1.0,3,122.01308564684223,0.15,4.0,2.424055404009102
VST-NCA,N/A,zipfian,900,16,False,2,32,8,0.1,1,815.7604830076526,0.0575940767806584,0.0008389229555457442,0.8125,1.0,0,31.55585569867071,0.15,4.0,2.387493378864824
VST-NCA,N/A,uniform,900,16,False,2,32,8,0.1,1,796.1271819376211,0.05555682920601015,0.0009246232170849696,1.125,1.25,0,31.486331913583854,0.15,4.0,2.3679189171649506
VST-CA,mixed,zipfian,900,16,False,2,32,8,0.1,1,815.3153387958189,0.0575797316361332,0.0008389229555457442,0.8125,1.0,4,81.58074100682643,0.15,4.0,2.3977842638149593
VST-CA,mixed,uniform,900,16,False,2,32,8,0.1,1,794.6385035050762,0.055495699958327455,0.0008732552605802491,1.0625,1.1875,4,83.04220762559635,0.15,4.0,2.363138270942034
VST-CA,pure,zipfian,900,16,False,2,32,8,0.1,1,813.3264048130642,0.057525873890397365,0.0007743904205037639,0.75,0.9375,4,124.16414686714234,0.15,4.0,2.394618917982219
VST-CA,pure,uniform,900,16,False,2,32,8,0.1,1,793.5833811893528,0.05546926621461941,0.0008732552605802491,1.0625,1.1875,4,124.8822076255965,0.15,4.0,2.364723072006717
VST-NCA,N/A,zipfian,900,16,False,3,32,8,0.1,1,848.7374670459545,0.059648832782954304,0.0010325205606716852,1.0,1.0,0,36.12976137938131,0.15,4.0,2.4403818641263815
VST-NCA,N/A,uniform,900,16,False,3,32,8,0.1,1,807.8184708827538,0.05696036372615333,0.0005136795650472054,0.625,1.25,0,29.413451531790997,0.15,4.0,2.408786137752466
VST-CA,mixed,zipfian,900,16,False,3,32,8,0.1,1,845.4620265641805,0.059569694293925564,0.0010325205606716852,1.0,1.0,6,111.56070765125514,0.15,4.0,2.4426008605152436
VST-CA,mixed,uniform,900,16,False,3,32,8,0.1,1,804.0954495328303,0.056854362390197026,0.0005136795650472054,0.625,1.0625,4,70.57488428182842,0.15,4.0,2.4153778207555203
VST-CA,pure,zipfian,900,16,False,3,32,8,0.1,1,845.3457357088505,0.05956186421357955,0.0010325205606716852,1.0,1.0,6,220.18687022117228,0.15,4.0,2.44145051242783
VST-CA,pure,uniform,900,16,False,3,32,8,0.1,1,804.0954495328303,0.056854362390197026,0.0005136795650472054,0.625,1.0625,3,87.79866372453398,0.15,4.0,2.4153778207555203
VST-NCA,N/A,zipfian,900,16,False,4,32,8,0.1,1,814.4459692840053,0.05759632784530592,0.0007098578854617836,0.6875,1.0,0,32.11104479909591,0.15,4.0,2.3892447025172485
VST-NCA,N/A,uniform,900,16,False,4,32,8,0.1,1,807.3485455491065,0.056998962612503874,0.0005280226155736349,0.5625,1.1875,0,35.21027710781527,0.15,4.0,2.401603959988817
VST-CA,mixed,zipfian,900,16,False,4,32,8,0.1,1,812.1554576963941,0.05751338662634923,0.0007098578854617836,0.6875,0.9375,5,97.65473700415714,0.15,4.0,2.393134238108478
VST-CA,mixed,uniform,900,16,False,4,32,8,0.1,1,806.1246930552091,0.05698152039842046,0.0005280226155736349,0.5625,1.125,3,80.10386770667537,0.15,4.0,2.3986288189289304
VST-CA,pure,zipfian,900,16,False,4,32,8,0.1,1,812.049606643045,0.057505910349157925,0.0007098578854617836,0.6875,0.9375,4,123.9989690562943,0.15,4.0,2.3922429279529984
VST-CA,pure,uniform,900,16,False,4,32,8,0.1,1,805.3759027179239,0.05695209123860296,0.0005280226155736349,0.5625,1.0625,4,138.12162159388208,0.15,4.0,2.3961945264840154
VST-NCA,N/A,zipfian,900,32,False,0,32,16,0.1,1,1446.533575110306,0.05115492530287776,0.0008389229555457442,0.8125,1.03125,0,89.65091548211603,0.15,4.0,3.02396815091807
VST-NCA,N/A,uniform,900,32,False,0,32,16,0.1,1,1494.2223112376012,0.052974778115352,0.000613059082898813,0.59375,0.9375,0,102.35223533637873,0.15,4.0,3.036955098082268
VST-CA,mixed,zipfian,900,32,False,0,32,16,0.1,1,1437.2868538823666,0.05089345158377018,0.0007421241529827737,0.71875,0.96875,5,238.60526402216965,0.15,4.0,3.0177576717629857
