Algorithm,Strategy,POIs dist,Net size,Min cap,Max cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MRL,Num it,Elapsed time,Alpha,Beta
VST-NCA,N/A,uniform,10000,16,64,FALSE,7,32,12,0.25,3,9282.031959865106,0.013664378721482458,0.25,0,830.4611327437306,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,7,32,12,0.25,3,9312.0098371452,0.013180731509381392,0.1875,13,3908.748700069322,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,8,32,12,0.25,3,9039.032059687122,0.01343703300156318,0.1875,0,580.7881531431194,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,8,32,12,0.25,3,9049.010878839554,0.012825075797705775,0.16666666666666666,24,2785.6977442077477,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,9,32,12,0.25,3,8804.04863143211,0.013044262040988533,0.3125,0,513.405331650094,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,9,32,12,0.25,3,8769.008388896207,0.012506900096687416,0.15,22,2676.068253268968,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,0,32,16,0.25,4,10584.036476330211,0.015690271064730435,0.25,0,544.0196959433233,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,0,32,16,0.25,4,10616.010850962037,0.01509245760381725,0.125,12,1837.9691999722127,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,1,32,16,0.25,4,9965.057073108183,0.01487892521877167,0.25,0,517.1008364084846,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,1,32,16,0.25,4,9974.017707135923,0.014292049841111674,0.19047619047619047,9,1787.9924017413432,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,2,32,16,0.25,4,10250.063988006317,0.01518760043155847,0.2631578947368421,0,622.0363246344932,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,2,32,16,0.25,4,10293.015794121247,0.014736753773898388,0.1875,18,2458.3644199537957,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,3,32,16,0.25,4,9642.050347398566,0.014371451159790632,0.22727272727272727,0,411.7371574112185,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,3,32,16,0.25,4,9713.011052666694,0.013834724539772926,0.1875,13,1673.1400609187112,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,4,32,16,0.25,4,10269.057378526426,0.015185321697009103,0.25,0,506.1772844120278,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,4,32,16,0.25,4,10318.013511393543,0.014790330530291468,0.17647058823529413,14,1990.9790850509016,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,5,32,16,0.25,4,10251.05105637085,0.015175893724382949,0.25,0,453.5357877666829,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,5,32,16,0.25,4,10243.016942314598,0.014730899487386187,0.1875,11,1390.7114205206744,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,6,32,16,0.25,4,10117.044946363854,0.015061255082457448,0.23809523809523808,0,611.6092916818452,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,6,32,16,0.25,4,10124.014278052373,0.014456716176243292,0.1875,15,2543.6071288151143,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,7,32,16,0.25,4,10072.063322959897,0.01489892975497567,0.3125,0,406.8604526585259,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,7,32,16,0.25,4,10061.010796329381,0.014299522838348623,0.15789473684210525,13,1631.3787341920251,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,8,32,16,0.25,4,10660.060148702592,0.01570103476774309,0.25,0,640.356125740771,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,8,32,16,0.25,4,10551.015110469909,0.014898112854840169,0.1875,24,2774.893452265358,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,9,32,16,0.25,4,10256.051648019104,0.015153417119028095,0.23529411764705882,0,427.1846434487088,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,9,32,16,0.25,4,10222.010590056223,0.01453609007026758,0.16666666666666666,22,1683.6865284074156,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,0,32,24,0.25,6,12644.140267607323,0.01883065483348913,0.3125,0,581.9909348289948,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,0,32,24,0.25,6,12607.021916108693,0.017868674204896816,0.1875,12,2190.0240173345082,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,1,32,24,0.25,6,12451.104143109049,0.018416654977104267,0.3125,0,665.7491441695311,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,1,32,24,0.25,6,12426.031031648603,0.017697710406803006,0.3125,9,1893.9704027929693,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,2,32,24,0.25,6,12078.06406786446,0.01785624074721999,0.23529411764705882,0,475.2676759781607,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,2,32,24,0.25,6,12138.019511399105,0.017275439463353203,0.1875,18,2077.58014607543,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,3,32,24,0.25,6,12661.11709202493,0.018601990510000752,0.375,0,844.3068381169869,0.15,4.0
